epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.239,2.41838,6.22371,2.76572,0,0,0,0,5.20071,1.95827e+08,10697.9,0.0024,0.0024,0.0784
2,266.864,3.08542,4.64288,3.378,0.00072,0.21277,0.00043,8e-05,4.20122,1.27736e+06,364133,0.00487014,0.00487014,0.0558701
3,407.577,2.73999,4.40492,3.05207,0,0,0,0,0,0,0,0.00722072,0.00722072,0.0332207
4,547.001,2.9992,4.42379,3.12375,0,0,0,0,0,69337.6,0,0.00936588,0.00936588,0.0103659
5,697.732,3.04337,4.28732,3.26643,0.00068,0.15106,0.0002,3e-05,3.65507,554934,3106.69,0.00905463,0.00905463,0.00905463
6,851.305,3.07566,4.00336,3.21312,0,0,0,0,3.63465,82763,459.633,0.00855018,0.00855018,0.00855018
7,1007.1,2.91542,4.13972,3.14177,0.00033,0.06454,5e-05,1e-05,3.98114,192286,844.648,0.00795954,0.00795954,0.00795954
8,1171.7,2.76079,4.01649,3.19486,0.00057,0.17021,0.00031,8e-05,3.40089,31587.9,77.6008,0.00729725,0.00729725,0.00729725
9,1336.77,2.91184,3.85865,3.03748,4e-05,0.01064,0,0,3.44706,5008.68,15.3237,0.00657963,0.00657963,0.00657963
